obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
237;28;42.424;106;48.182;291;58.788;527;66.540;690;74.675;639;80.682;429;86.667;202;91.818;63;95.455;12;100.000;1;100.000;2988;73.181
238;6;9.091;4;1.818;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.245
239;24;36.364;111;50.455;299;60.404;527;66.540;673;72.835;626;79.040;422;85.253;203;92.273;65;98.485;12;100.000;1;100.000;2963;72.569
240;20;30.303;83;37.727;208;42.020;374;47.222;431;46.645;351;44.318;180;36.364;62;28.182;15;22.727;0;0.000;0;0.000;1724;42.224
241;11;16.667;55;25.000;113;22.828;105;13.258;27;2.922;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;312;7.641
242;11;16.667;55;25.000;138;27.879;126;15.909;24;2.597;4;0.505;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;358;8.768
243;21;31.818;56;25.455;88;17.778;88;11.111;24;2.597;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;277;6.784
244;12;18.182;32;14.545;77;15.556;91;11.490;69;7.468;18;2.273;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;301;7.372
245;12;18.182;34;15.455;41;8.283;20;2.525;5;0.541;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;112;2.743
246;1;1.515;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
247;3;4.545;10;4.545;10;2.020;20;2.525;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;45;1.102
248;31;46.970;124;56.364;288;58.182;453;57.197;585;63.312;514;64.899;299;60.404;134;60.909;42;63.636;8;66.667;1;100.000;2479;60.715
